source,destination,max_stretch,min_stretch,avg_stretch,geodesic_dist_km,max_ISL_dist_km,min_ISL_dist_km,avg_ISL_dist_km,mid_hop_cnt
G-9,G-32,2.1208272294879738,1.2666848636457178,1.957947082473901,4019.4561457001328,8524.572041533624,5091.384259846115,7869.882433605367,7.0
G-26,G-40,1.85447090769004,1.439389112464162,1.6770080100027416,4171.835672413602,7736.547886154541,6004.894845861745,6996.201839052785,6.0
G-73,G-96,1.7895183997686614,1.671527627880962,1.7445631360404217,6837.560704607896,12235.940690431002,11429.171625065315,11928.556345697505,8.0
G-0,G-84,1.6647556768804084,1.5831608140577296,1.63762659998246,7835.244389289463,13043.767576815002,12404.451885688764,12831.20462926375,9.0
G-26,G-42,1.8336014202793796,1.3768194347287945,1.5758697128889256,3339.719521094643,6123.714457213907,4598.190743186246,5262.962842836955,5.0
G-55,G-63,2.013145912588355,1.3635379837201127,1.887001787528165,3711.4872870840654,7471.7654616169275,5060.753892033437,7003.583145115691,6.0
G-41,G-63,2.115672459443042,1.275866752599731,1.8065471167748783,3270.3115482492494,6918.908076429471,4172.481775054168,5907.97189844527,5.5
G-25,G-26,1.856081105544554,1.3931378663518934,1.587500849277272,3296.0882616813283,6117.807144713906,4591.905368186247,5232.542914711955,5.0
G-79,G-96,1.8784896837335936,1.3403282327820538,1.7898204486730591,4604.436005782224,8649.385536273421,6171.455574588147,8241.113717755528,7.0
G-29,G-56,1.9228117303647687,1.593129665254636,1.8064007472654093,6210.050038820562,11940.757060796363,9893.414939560742,11217.839030681047,8.0
G-8,G-72,1.958674258112161,1.331637567961844,1.7954843309290074,4192.31753254526,8211.384432828692,5582.647523162369,7527.240439963973,7.0
G-52,G-72,2.0716045026345564,1.1699646036962297,1.7074958242447338,3599.7248712419546,7457.206251510432,4211.550682398055,6146.5151860755495,6.5
G-72,G-91,2.0618252450561854,1.3096064925119597,1.8641587875617303,3154.8460374308247,6504.741204240346,4131.606853495037,5881.133964080976,6.0
G-74,G-97,2.100532666123044,1.3570676882785122,1.9150861862125843,3636.852035808849,7639.326503072583,4935.454384846115,6964.885095076642,6.0
G-15,G-63,2.1675164253069874,1.341543315094378,1.875300832072865,3160.3474724600305,6850.105056234537,4239.743025054168,5926.602244743672,5.5
G-29,G-70,1.7559476334751727,1.377865886955623,1.5757345354807974,5158.302493429992,9057.709056087477,7107.449040295319,8128.1153833543485,6.0
G-71,G-79,2.199784804574851,1.1567945322805913,1.833293818394719,2712.823841690296,5967.628664438684,3138.1797871077624,4973.403179364633,5.0
G-26,G-99,2.0215038581868763,1.2974883890045956,1.7996657892879797,3507.3707840094808,7090.163571967095,4550.772868186246,6312.095210330022,7.0
G-24,G-75,1.8667477523196732,1.278138446559127,1.7726182998774853,4880.716335507405,9111.06624901836,6238.23119516119,8651.647092831407,8.0
G-14,G-34,1.6304540110078745,1.573271777462099,1.6023723295557835,7483.041944338709,12200.755752687211,11772.858700593202,11990.619352513657,8.0
G-9,G-29,1.8832625853076022,1.5471212762490727,1.7880748055910254,5881.507762500474,11076.423514313374,9099.405795788562,10516.575849015142,8.0
G-16,G-27,2.0942246468894523,1.3554602425841729,1.9506145253407325,5026.0651882490165,10525.709594104164,6812.631539307878,9803.915761507935,8.0
G-14,G-71,2.14112661009694,1.1534189476572112,1.7668774613785179,2855.423797916115,6113.82387682226,3293.4999121077626,5045.183951221831,5.0
G-26,G-93,1.782743614254613,1.286431431041756,1.5797991334689296,4890.269319094723,8718.096400601373,6290.996158342618,7725.643232735536,6.0
G-19,G-26,1.844543429542904,1.3687276096438268,1.582827814159699,3339.5897846874873,6160.018394713907,4570.988743186246,5285.995599086955,5.0
G-8,G-96,2.114881239947502,1.3039719966655465,1.7899182108687672,3536.7504135163513,7479.807099922302,4611.823498420614,6330.493972450561,7.0
G-66,G-69,1.8792897368649504,1.2683792336792006,1.7116805400530586,5704.829819859791,10721.02813102363,7235.887675184014,9764.846186968402,8.0
G-33,G-84,1.6496920527653314,1.3462008658950262,1.5956483671480586,7829.559426297636,12916.361962217095,10540.159679258442,12493.223714060514,8.0
G-8,G-73,2.6119306986053266,1.4705999630688975,2.297463361749796,3328.119808125148,8692.818295478542,4894.332866917709,7646.233322681289,7.0
G-15,G-26,2.050119350848766,1.419175959921204,1.9104031100672136,3982.5301304800123,8164.662085835334,5651.911020839089,7608.237947205402,7.0
G-26,G-41,2.0096121422056905,1.3551351055952086,1.834722954125967,4115.939711700737,8271.44242122039,5577.654395839089,7551.609066855956,7.0
G-50,G-57,1.8028432927775788,1.2904958840451741,1.6731042353710834,6672.322155902327,12029.151246019745,8610.604279215375,11163.490458800503,8.0
G-14,G-72,1.8485044489392408,1.1758980712004767,1.6802233257044914,5428.751580118723,10035.071448035393,6383.658512088147,9121.515034370594,7.0
G-17,G-93,2.266771182270768,1.5882760995837049,1.9266252948592963,2488.7567425519815,5641.442063698901,3952.8328518731078,4794.901692952273,5.0
G-6,G-26,1.6948874950063815,1.2458927739751802,1.4984893625429805,5226.9580652310215,8859.105861682809,6512.229283342618,7832.541059206925,6.0
G-17,G-31,2.2329070439606395,1.433540685388945,1.8184660180160976,2624.0891100957338,5859.34705791317,3761.738501408305,4771.816874955194,5.0
G-54,G-75,1.8898002446667794,1.3386684450258566,1.7569540097314211,3904.2372842777713,7378.2285750652945,5226.479254356097,6859.565351554744,7.0
G-22,G-24,1.7765942714398741,1.3671760248840865,1.6862824861017123,6052.320035630112,10752.517104221231,8274.58684763909,10205.92127636555,8.0
G-94,G-97,2.067811125921388,1.6492097174879514,1.9341105757987582,4374.240563437145,9045.10330453197,7214.040043850511,8460.2649348317,7.0
G-24,G-66,1.7746306109937693,1.3697543788451738,1.6811111071617098,6509.951844057847,11552.759818560391,8917.03504446945,10943.952352133501,8.0
G-66,G-73,1.696502345164897,1.3702156552232054,1.6239027705681193,7804.034345821136,13239.562569432961,10693.210034543708,12672.992995787705,9.0
G-88,G-97,2.1039504711470363,1.295551516331831,1.8937198455376583,4042.640002209408,8505.51433732634,5237.448384846116,7655.627600548359,7.0
G-32,G-64,2.145122017342585,1.2773970513710966,1.9584251866651923,3935.8244208014416,8442.8236214558,5027.610509846116,7708.017675989486,7.0
G-8,G-34,1.8585944076189689,1.2972712034386784,1.6716960256485016,6270.029037995369,11653.440905626736,8133.928115715711,10481.582623517555,8.0
G-41,G-48,2.0304694264277083,1.347499906658703,1.6485046360287408,3074.330658268036,6242.334408342618,4142.660275054168,5068.0483428401485,5.0
G-29,G-97,2.0837789004575473,1.3299394742187762,1.8155470761105512,2043.0354214494769,4257.234104103813,2717.1134542128534,3709.226985802886,4.0
G-48,G-55,2.002877314657431,1.2379723761756916,1.6714539181576729,3547.9743069005385,7106.157252278511,4392.294183323962,5930.275556791658,5.5
G-32,G-56,1.9145660903321227,1.3905041951271733,1.812054037102049,4382.998019957662,8391.539383003777,6094.577133985224,7942.22925667457,7.0
G-17,G-23,2.1241137558757153,1.5360771710750798,1.842965613297835,2753.034539126754,5847.758534960099,4228.87350673381,5073.747987831861,5.0
G-73,G-79,2.655495103244625,1.429727395461195,2.285728734372075,2234.4617773580335,5933.60230816154,3194.671217199694,5107.373490363356,5.0
G-29,G-57,1.946009214303994,1.4521765995276419,1.774084914379637,4225.511522147097,8222.884357245945,6136.188953496441,7496.416246978501,6.0
G-7,G-84,1.647623141612292,1.3359623846905624,1.5933218945703156,7802.909478377983,12856.254228481463,10424.393554258442,12432.546513249881,8.0
G-26,G-55,1.918002154633492,1.3980896611565705,1.7928617529176,4513.983810324352,8657.830674182807,6310.954095842619,8092.948926819786,7.0
G-63,G-99,2.1261103953599787,1.4625912282097044,1.749879544490942,2646.5472378035997,5626.851594105471,3870.816775054168,4631.138874961524,5.0
G-26,G-47,1.8570571493766839,1.3696445281549154,1.5899859289261076,3325.3408271719827,6175.347957213907,4554.534868186247,5287.245124086956,5.0
G-27,G-66,1.8241318861625582,1.290054629921974,1.681182017513345,6839.116704695738,12475.450854222496,8822.83416946945,11497.8000196096,9.0
G-46,G-55,2.184707383372155,1.1689670219516406,1.7365789798536602,2630.580437514876,5747.048504393103,3075.0617800460086,4568.210692602579,5.0
G-73,G-78,2.7887589455614568,1.5285604090578109,2.4771097125420383,3199.18423762653,8921.753661180195,4890.146366917709,7924.730347236074,7.0
G-50,G-97,1.9076404226806158,1.3812375326487463,1.7866941395103444,4450.721278274605,8490.375820521378,6147.5032769112895,7952.077624487226,7.0
G-9,G-97,2.134414426350804,1.3150495689072499,1.891323967562511,3839.7934319251935,8195.710495308198,5049.518697346116,7262.293348289228,7.0
G-21,G-72,1.6803564454317472,1.5885861181160188,1.6426194320059326,6967.862873769428,11708.493290823035,11069.050234206103,11445.546956006363,8.0
G-57,G-97,2.144893662878653,1.2377785398315113,1.8202229979844182,2230.1595259719925,4783.455034465787,2760.443601648948,4059.3876583482493,4.0
G-29,G-94,2.006451464502365,1.5125510176762267,1.7604976348918748,6415.9912301471,12873.374999962978,9704.51406456074,11295.337386160982,8.0
G-21,G-96,1.7801675936324122,1.6581427673712117,1.734600849378051,6349.89769475621,11303.882099086164,10529.03693610714,11014.53793478785,8.0
G-73,G-91,2.1179105029128475,1.4238365139066467,1.916095944267018,4333.304682102154,9177.55149854557,6169.917432259681,8303.027526649217,7.0
G-32,G-88,2.1384557578593504,1.2535092750340915,1.9123132812266574,4211.627350904551,9006.37875849976,5279.313947346115,8053.950918712218,7.0
G-41,G-46,2.0993456035451765,1.2911915323056287,1.765517132473038,2233.3436948713156,4688.560267033437,2883.6744675460086,3943.006555995945,4.0
G-32,G-50,1.992067196677978,1.4411888558563952,1.863358749209954,4252.976328885821,8472.214633021376,6129.34208941129,7924.820652612226,7.0
G-14,G-96,1.8073371298586927,1.2805701062033976,1.7295809106227262,4775.396165320794,8630.75079936909,6115.229574588147,8259.434048199813,7.0
G-48,G-99,1.8950133272893634,1.1999028810059276,1.684943904438022,2440.1463122916875,4624.109782328741,2927.9385901947853,4111.509654832797,4.0
G-16,G-54,1.883908774344287,1.4116573012097127,1.753584599278157,3846.4903382494413,7246.436898658647,5429.9261700224415,6745.146218426448,6.0
G-29,G-64,1.9106791077666747,1.5738853331970413,1.8178990377874298,5791.325043529986,11065.363766958673,9114.881545788561,10528.044224147407,8.0
G-91,G-96,2.204687367336582,1.1837359711638953,1.761833831929667,2551.5357524460233,5625.338640725387,3020.344651881094,4495.382012037523,5.0
G-71,G-73,2.156509461514586,1.4613118487634869,1.943111824219776,4943.406772214062,10660.503476394902,7223.858889494071,9605.59215101726,8.0
G-6,G-17,2.0412400948114255,1.5123281169868004,1.7836314696533278,2851.9919194701156,5821.600256100599,4313.147569233811,5086.902538763898,5.0
G-26,G-87,1.8470523328113517,1.331392161924986,1.6645991895291157,4616.439766293979,8526.805839616387,6146.291720842619,7684.521893482938,6.0
G-49,G-72,1.858427467809368,1.2380093357388169,1.747032171506584,4503.8178325487925,8370.018770018329,5575.768523162369,7868.314648067793,7.0
G-8,G-21,2.1815177938583457,1.374117197725644,1.8585853181551026,2906.7376382236453,6341.099879862664,3994.198177959532,5402.419898131306,5.0
G-21,G-71,2.137198057918912,1.406372333066817,1.9041356595956234,4496.479383056417,9609.867004940603,6323.724200535895,8561.906735914252,7.0
G-34,G-91,1.803952530972752,1.2482713239333392,1.664772292388808,5447.232420212606,9826.54871123936,6799.624024951397,9068.401603371974,7.0
G-17,G-53,2.213441560164969,1.6096464583326,1.9719867527600259,3035.753127239382,6719.462138232423,4886.489269632987,5986.464951565883,5.5
G-27,G-75,2.12391592769773,1.8680231442426418,2.019741718015959,5151.545111490753,10941.448714548587,9623.205496874767,10404.790573919046,8.0
G-72,G-78,1.8344749366878181,1.393305350118724,1.765856857403395,4347.811491265686,7975.951210170186,6057.829012088147,7677.612736548792,7.0
G-17,G-68,2.284155707353877,1.3982085919468539,2.07293251426791,3508.274434433913,8013.445072375916,4905.299457132986,7272.41614411292,7.0
G-32,G-94,2.142308872183732,1.591751068293417,1.892734709893609,4553.121757129757,9754.19313643186,7247.436420981291,8617.85158809127,7.0
G-29,G-88,1.8282200185423787,1.4963252364792465,1.7291882192044505,6085.423943135411,11125.493874157255,9105.773420788562,10522.843391334447,8.0
G-29,G-37,1.7986375573322761,1.3288342072540325,1.7053488611824468,6097.361939722981,10966.944185434133,8102.383119512698,10398.12924012378,9.0
G-15,G-48,2.1046085494489932,1.3676753875653385,1.6833608690344515,2985.796215206713,6283.932241436493,4083.5999958239618,5026.172511590148,5.0
